"start_year";"EinheitenTyp";"ags_federal_state";"n";"mean";"sum";"pop_obliged_to_income_taxes";"total_income_in_1000_euro";"total_taxes_on_income_in_1000_euro";"voters_eligible";"voter_turnout";"votes_valid";"votes_cdu_csu";"votes_spd";"votes_greens";"votes_fdp";"votes_the_left";"votes_afd";"votes_other_parties"
1934;"Wasser";"03";1;4700;4700;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1934;"Wasser";"05";1;110;110;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1934;"Wasser";"08";1;27;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1934;"Wasser";"09";2;31,5;63;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1935;"Wasser";"09";4;127;508;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1936;"Wasser";"08";6;760;4560;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1936;"Wasser";"09";4;95,5;382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1937;"Wasser";"08";2;120;240;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1937;"Wasser";"09";1;220;220;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1938;"Wasser";"03";3;540;1620;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1938;"Gasverbrauchseinheit";"05";1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1938;"Wasser";"08";1;70;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1938;"Wasser";"09";7;889,714285714286;6228;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1938;"Wasser";"14";1;413;413;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1939;"Wasser";"08";3;32,1666666666667;96,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1939;"Wasser";"09";2;54,5;109;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1940;"Wasser";"08";3;49,3333333333333;148;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1940;"Wasser";"09";2;189;378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1941;"Gas";"03";3;26333,3333333333;79000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1941;"Solareinheit";"08";1;1,05;1,05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1941;"Solareinheit";"09";1;2,75;2,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1941;"Wasser";"09";1;135;135;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1942;"Wasser";"09";4;327,25;1309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1943;"Wasser";"06";1;320;320;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1943;"Wasser";"09";3;1186,66666666667;3560;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1944;"Wasser";"08";1;65;65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1944;"Wasser";"09";4;1115;4460;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1945;"Wasser";"09";1;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1946;"Wasser";"03";2;110;220;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1946;"Wasser";"06";1;15;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1946;"Solareinheit";"09";1;7,38;7,38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1946;"Wasser";"09";2;252,5;505;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1947;"Wasser";"08";1;34;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1947;"Wasser";"09";1;34;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1948;"Wasser";"03";1;150;150;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1948;"Wasser";"09";8;439,9375;3519,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1949;"Verbrennung";"05";1;2025;2025;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1949;"Wasser";"06";1;120;120;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1949;"Solareinheit";"08";1;7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1949;"Wasser";"08";3;113,5;340,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1949;"Wasser";"09";5;26,672;133,36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1950;"Gas";"05";1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1950;"Solareinheit";"08";3;17,9066666666667;53,72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1950;"Wasser";"08";2;22,5;45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1950;"Mineralölprodukte";"09";1;792;792;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1950;"Solareinheit";"09";1;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1950;"Wasser";"09";16;82,6875;1323;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1951;"Verbrennung";"05";1;12000;12000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1951;"Solareinheit";"08";1;2,5;2,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1951;"Solareinheit";"09";1;6,8;6,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1951;"Wasser";"09";4;352;1408;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1952;"Solareinheit";"05";1;63;63;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1952;"Wasser";"09";6;1688,5;10131;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1953;"Solareinheit";"01";1;1,484;1,484;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
