"MastrID";"MastrNummer";"Betriebsstatus";"EinheitenTyp";"Lage";"Plz";"Ort";"Bundesland";"Landkreis";"Gemeinde";"ags_municipality";"Breitengrad";"Laengengrad";"Leistungsbegrenzung";"Bruttoleistung";"Nettonennleistung";"Nutzungsbereich";"Energietraeger";"EinspeisungsArt";"start_year";"start_pause";"end_pause";"end_year";"ags_county";"ags_federal_state";"name"
2124454;"SEE959153458698";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,787911;14,122602;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2124469;"SEE907421344761";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,782903;14,132888;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2124478;"SEE968593001876";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,777659;14,141679;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2124491;"SEE983077453002";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,771791;14,139915;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2124504;"SEE982365534874";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,771411;14,156915;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2124515;"SEE926878024736";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,765945;14,158823;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2124532;"SEE968233320558";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,798022;14,073711;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2124544;"SEE950713955695";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,795372;14,085139;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2124818;"SEE944436648095";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,07839;6,5648;NA;6000;6000;NA;"Wind";"Volleinspeisung";2019;NA;NA;NA;NA;NA;NA
2124828;"SEE996254366262";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,07586;6,57729;NA;6000;6000;NA;"Wind";"Volleinspeisung";2019;NA;NA;NA;NA;NA;NA
2124835;"SEE973959789626";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,04135;6,56674;NA;6000;6000;NA;"Wind";"Volleinspeisung";2019;NA;NA;NA;NA;NA;NA
2126424;"SEE989029090851";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,795372;14,085139;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2126429;"SEE903225191280";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,781053;14,118625;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2126440;"SEE903317497436";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,776059;14,127386;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
