"start_year";"EinheitenTyp";"Landkreis";"name";"ags_county";"n";"mean";"sum";"pop_obliged_to_income_taxes";"total_income_in_1000_euro";"total_taxes_on_income_in_1000_euro";"voters_eligible";"voter_turnout";"votes_valid";"votes_cdu_csu";"votes_spd";"votes_greens";"votes_fdp";"vodes_the_left";"votes_afd";"votes_other_parties"
2013;"Verbrennung";"Spree-Neiße";"Spree-Neiße";"12071";1;17500;17500;51535;1456656;199608;103695;68,5;69620;26507;14335;2082;1685;14861;4854;5296
2013;"Windeinheit";"Spree-Neiße";"Spree-Neiße";"12071";2;1400;2800;51535;1456656;199608;103695;68,5;69620;26507;14335;2082;1685;14861;4854;5296
2013;"Solareinheit";"Teltow-Fläming";"Teltow-Fläming";"12072";27;251,16537037037;6781,465;75418;2321169;343709;133937;67,3;88580;30804;21150;4071;2408;19468;5382;5297
2013;"Stromspeichereinheit";"Teltow-Fläming";"Teltow-Fläming";"12072";1;3,4;3,4;75418;2321169;343709;133937;67,3;88580;30804;21150;4071;2408;19468;5382;5297
2013;"Windeinheit";"Teltow-Fläming";"Teltow-Fläming";"12072";8;2300;18400;75418;2321169;343709;133937;67,3;88580;30804;21150;4071;2408;19468;5382;5297
2013;"Biomasse";"Uckermark";"Uckermark";"12073";1;600;600;50202;1357908;189639;104774;63,5;65362;25101;15046;1970;1265;14922;3078;3980
2013;"Solareinheit";"Uckermark";"Uckermark";"12073";27;37,0753703703704;1001,035;50202;1357908;189639;104774;63,5;65362;25101;15046;1970;1265;14922;3078;3980
2013;"Windeinheit";"Uckermark";"Uckermark";"12073";2;3025;6050;50202;1357908;189639;104774;63,5;65362;25101;15046;1970;1265;14922;3078;3980
2013;"Solareinheit";"Rostock";"Rostock";"13003";19;5,98631578947368;113,74;94476;2586677;392491;169982;67,2;112817;39839;22326;8180;2144;27979;6157;6192
2013;"Verbrennung";"Rostock";"Rostock";"13003";1;18,6;18,6;94476;2586677;392491;169982;67,2;112817;39839;22326;8180;2144;27979;6157;6192
2013;"Solareinheit";"Schwerin";"Schwerin";"13004";3;248,823333333333;746,47;42962;1258153;192576;77730;68,1;52251;19163;11486;3013;1100;11613;3058;2818
2013;"Biomasse";"Mecklenburgische Seenplatte";"Mecklenburgische Seenplatte";"13071";2;994,5;1989;112290;3097370;433354;225170;64,3;142401;62520;24050;4795;2852;32299;7668;8217
2013;"Solareinheit";"Mecklenburgische Seenplatte";"Mecklenburgische Seenplatte";"13071";61;186,70437704918;11388,967;112290;3097370;433354;225170;64,3;142401;62520;24050;4795;2852;32299;7668;8217
2013;"Windeinheit";"Mecklenburgische Seenplatte";"Mecklenburgische Seenplatte";"13071";19;4466,31578947368;84860;112290;3097370;433354;225170;64,3;142401;62520;24050;4795;2852;32299;7668;8217
2013;"Solareinheit";"Rostock";"Landkreis Rostock";"13072";40;238,20015;9528,006;91265;2828417;423923;177980;66,3;115573;52115;20665;4606;2505;23826;5885;5971
2013;"Stromspeichereinheit";"Rostock";"Landkreis Rostock";"13072";1;7,5;7,5;91265;2828417;423923;177980;66,3;115573;52115;20665;4606;2505;23826;5885;5971
2013;"Verbrennung";"Rostock";"Landkreis Rostock";"13072";1;400;400;91265;2828417;423923;177980;66,3;115573;52115;20665;4606;2505;23826;5885;5971
2013;"Windeinheit";"Rostock";"Landkreis Rostock";"13072";27;3090;83430;91265;2828417;423923;177980;66,3;115573;52115;20665;4606;2505;23826;5885;5971
2013;"Biomasse";"Vorpommern-Rügen";"Vorpommern-Rügen";"13073";2;663,5;1327;96357;2619778;366890;191265;63,4;119356;55644;16799;4423;2991;25061;7793;6645
2013;"Gaserzeugungseinheit";"Vorpommern-Rügen";"Vorpommern-Rügen";"13073";1;NA;NA;96357;2619778;366890;191265;63,4;119356;55644;16799;4423;2991;25061;7793;6645
2013;"Solareinheit";"Vorpommern-Rügen";"Vorpommern-Rügen";"13073";42;266,313095238095;11185,15;96357;2619778;366890;191265;63,4;119356;55644;16799;4423;2991;25061;7793;6645
2013;"Stromspeichereinheit";"Vorpommern-Rügen";"Vorpommern-Rügen";"13073";1;4,6;4,6;96357;2619778;366890;191265;63,4;119356;55644;16799;4423;2991;25061;7793;6645
2013;"Verbrennung";"Vorpommern-Rügen";"Vorpommern-Rügen";"13073";2;11,85;23,7;96357;2619778;366890;191265;63,4;119356;55644;16799;4423;2991;25061;7793;6645
2013;"Windeinheit";"Vorpommern-Rügen";"Vorpommern-Rügen";"13073";5;2610;13050;96357;2619778;366890;191265;63,4;119356;55644;16799;4423;2991;25061;7793;6645
2013;"Biomasse";"Nordwestmecklenburg";"Nordwestmecklenburg";"13074";2;525;1050;67960;2027738;296019;129527;65;83092;33733;17630;3852;1912;17056;4346;4563
2013;"Solareinheit";"Nordwestmecklenburg";"Nordwestmecklenburg";"13074";27;24,3059259259259;656,26;67960;2027738;296019;129527;65;83092;33733;17630;3852;1912;17056;4346;4563
2013;"Verbrennung";"Nordwestmecklenburg";"Nordwestmecklenburg";"13074";1;6;6;67960;2027738;296019;129527;65;83092;33733;17630;3852;1912;17056;4346;4563
2013;"Windeinheit";"Nordwestmecklenburg";"Nordwestmecklenburg";"13074";8;2300;18400;67960;2027738;296019;129527;65;83092;33733;17630;3852;1912;17056;4346;4563
2013;"Solareinheit";"Vorpommern-Greifswald";"Vorpommern-Greifswald";"13075";32;110,8583125;3547,466;98568;2656148;376218;200404;63,5;125072;55719;17715;4961;2895;25072;8007;10703
2013;"Verbrennung";"Vorpommern-Greifswald";"Vorpommern-Greifswald";"13075";5;8053,7;40268,5;98568;2656148;376218;200404;63,5;125072;55719;17715;4961;2895;25072;8007;10703
2013;"Windeinheit";"Vorpommern-Greifswald";"Vorpommern-Greifswald";"13075";16;2920,3125;46725;98568;2656148;376218;200404;63,5;125072;55719;17715;4961;2895;25072;8007;10703
2013;"Biomasse";"Ludwigslust-Parchim";"Ludwigslust-Parchim";"13076";1;380;380;93545;2748625;378381;178647;66,6;117181;50315;23760;3886;2569;23965;5971;6715
2013;"Solareinheit";"Ludwigslust-Parchim";"Ludwigslust-Parchim";"13076";74;189,269027027027;14005,908;93545;2748625;378381;178647;66,6;117181;50315;23760;3886;2569;23965;5971;6715
2013;"Stromspeichereinheit";"Ludwigslust-Parchim";"Ludwigslust-Parchim";"13076";1;3;3;93545;2748625;378381;178647;66,6;117181;50315;23760;3886;2569;23965;5971;6715
2013;"Verbrennung";"Ludwigslust-Parchim";"Ludwigslust-Parchim";"13076";7;28,0285714285714;196,2;93545;2748625;378381;178647;66,6;117181;50315;23760;3886;2569;23965;5971;6715
2013;"Windeinheit";"Ludwigslust-Parchim";"Ludwigslust-Parchim";"13076";16;2434,375;38950;93545;2748625;378381;178647;66,6;117181;50315;23760;3886;2569;23965;5971;6715
2013;"Solareinheit";"Chemnitz";"Chemnitz, Stadt";"14511";20;7,30295;146,059;112362;3109140;450146;201249;67,5;134528;52380;23558;7168;3865;31014;8138;8405
2013;"Stromspeichereinheit";"Chemnitz";"Chemnitz, Stadt";"14511";1;1,5;1,5;112362;3109140;450146;201249;67,5;134528;52380;23558;7168;3865;31014;8138;8405
2013;"Verbrennung";"Chemnitz";"Chemnitz, Stadt";"14511";6;22,6666666666667;136;112362;3109140;450146;201249;67,5;134528;52380;23558;7168;3865;31014;8138;8405
2013;"Biomasse";"Erzgebirgskreis";"Erzgebirgskreis";"14521";1;854;854;149828;4004728;500279;302267;69,8;207281;95144;26876;5365;7049;40309;15967;16571
2013;"Solareinheit";"Erzgebirgskreis";"Erzgebirgskreis";"14521";56;15,7178571428571;880,2;149828;4004728;500279;302267;69,8;207281;95144;26876;5365;7049;40309;15967;16571
2013;"Verbrennung";"Erzgebirgskreis";"Erzgebirgskreis";"14521";6;23,5666666666667;141,4;149828;4004728;500279;302267;69,8;207281;95144;26876;5365;7049;40309;15967;16571
2013;"Wasser";"Erzgebirgskreis";"Erzgebirgskreis";"14521";1;87;87;149828;4004728;500279;302267;69,8;207281;95144;26876;5365;7049;40309;15967;16571
2013;"Biomasse";"Mittelsachsen";"Mittelsachsen";"14522";3;567,866666666667;1703,6;137245;3805440;505248;268349;69,5;183652;83510;24878;6018;6109;37432;11690;14015
