"start_year";"ags_county";"n";"mean";"sum"
1946;"09189";1;145;145
1946;"09271";1;7,38;7,38
1946;"09774";1;360;360
1947;"08436";1;34;34
1947;"09778";1;34;34
1948;"03159";1;150;150
1948;"09278";1;4,5;4,5
1948;"09279";1;25;25
1948;"09371";1;25;25
1948;"09774";2;60;120
1948;"09778";3;1115;3345
1949;"05119";1;2025;2025
1949;"06532";1;120;120
1949;"08116";1;310;310
1949;"08236";1;7;7
1949;"08237";1;15;15
1949;"08436";1;15,5;15,5
1949;"09273";1;13,36;13,36
1949;"09278";1;14;14
1949;"09374";1;75;75
1949;"09376";1;11;11
1949;"09772";1;20;20
1950;"05378";1;1;1
1950;"08119";1;30;30
1950;"08225";1;13,72;13,72
1950;"08317";2;20;40
1950;"08426";1;15;15
1950;"09162";1;792;792
1950;"09177";2;108,5;217
1950;"09183";1;8;8
1950;"09271";4;24,25;97
1950;"09275";1;220;220
1950;"09279";1;38;38
1950;"09373";1;25;25
1950;"09375";1;16;16
1950;"09376";1;13;13
1950;"09571";1;10;10
1950;"09677";2;67;134
1950;"09679";1;5;5
1950;"09774";1;545;545
1951;"05119";1;12000;12000
1951;"08222";1;2,5;2,5
1951;"09189";1;400;400
1951;"09272";1;230;230
1951;"09273";1;6,8;6,8
1951;"09375";1;760;760
1951;"09778";1;18;18
1952;"05570";1;63;63
1952;"09182";1;60;60
1952;"09276";1;16;16
1952;"09375";1;24;24
1952;"09377";1;41;41
1952;"09772";2;4995;9990
1953;"01057";1;1,484;1,484
1953;"03452";1;30,36;30,36
1953;"06632";1;200;200
1953;"08421";2;4015;8030
1953;"09371";1;33;33
1954;"05119";1;10000;10000
1954;"08216";1;15;15
1954;"08237";1;15;15
1954;"08425";1;42;42
1954;"08426";1;6,76;6,76
1954;"08436";2;24,5;49
1954;"09177";2;2,75;5,5
1954;"09372";1;60;60
1954;"09375";1;45;45
1954;"09376";2;27,5;55
1954;"09474";1;90;90
1954;"09774";1;545;545
1954;"09779";2;6145;12290
1954;"10044";1;27,6;27,6
1954;"12067";1;67400;67400
1955;"04011";1;30;30
1955;"05112";1;1200;1200
1955;"05515";1;4,5;4,5
1955;"08118";1;70;70
1955;"08436";1;60;60
1955;"09173";1;80;80
1955;"09179";1;5,9;5,9
1955;"09189";1;50;50
1955;"09272";5;658,682;3293,41
1955;"09275";1;290;290
1955;"09371";2;68,5;137
1955;"09374";2;64,5;129
1955;"09376";1;30;30
1955;"09774";1;715;715
1955;"09779";1;5595;5595
1955;"09780";1;480;480
1956;"03454";1;11;11
1956;"06533";1;240;240
1956;"08121";1;800;800
1956;"08235";1;15;15
1956;"08317";2;95;190
1956;"08436";1;45;45
1956;"09177";1;130;130
1956;"09272";2;161,5;323
1956;"09376";2;109,25;218,5
1956;"09573";2;148,75;297,5
1956;"09677";1;165;165
1956;"09679";1;24;24
1956;"09772";1;2590;2590
1956;"09779";1;5595;5595
1957;"03153";1;4140;4140
1957;"03159";2;35;70
1957;"06633";1;205;205
1957;"08425";1;270;270
1957;"09189";1;5,5;5,5
1957;"09276";1;22;22
1957;"09373";1;12;12
1957;"09375";2;33,5;67
